IFDM - Índice Firjan de Desenvolvimento Municipal (NOVO)
Sigla;Código;Município;2019;2020;2021;2022;2023;
AC;1200013;Acrelândia;0,4471;0,4361;0,4501;0,4849;0,5238;
AC;1200054;Assis Brasil;0,2655;0,2881;0,2795;0,2771;0,2696;
AC;1200104;Brasiléia;0,4559;0,4832;0,4546;0,4766;0,5409;
AC;1200138;Bujari;0,3956;0,381;0,402;0,4142;0,4136;
AC;1200179;Capixaba;0,3411;0,3321;0,3304;0,4066;0,424;
AC;1200203;Cruzeiro do Sul;0,4532;0,4638;0,4557;0,4797;0,5256;
AC;1200252;Epitaciolândia;0,3874;0,3918;0,3678;0,4767;0,4686;
AC;1200302;Feijó;0,2379;0,2958;0,2754;0,2551;0,2866;
AC;1200328;Jordão;0,2686;0,261;0,2779;0,3053;0,2986;
AC;1200336;Mâncio Lima;0,339;0,3517;0,3485;0,3161;0,3551;
AC;1200344;Manoel Urbano;0,2538;0,3198;0,2805;0,2757;0,3062;
AC;1200351;Marechal Thaumaturgo;0,2359;0,3037;0,2406;0,3126;0,2822;
AC;1200385;Plácido de Castro;0,3755;0,3827;0,3734;0,4576;0,4535;
AC;1200393;Porto Walter;0,2416;0,2787;0,3318;0,3262;0,3147;
AC;1200401;Rio Branco;0,6352;0,621;0,6159;0,6429;0,6732;
AC;1200427;Rodrigues Alves;0,2535;0,3176;0,2874;0,392;0,387;
AC;1200435;Santa Rosa do Purus;0,1577;0,2444;0,1768;0,2154;0,1806;
AC;1200450;Senador Guiomard;0,4282;0,4038;0,4196;0,4485;0,5028;
AC;1200500;Sena Madureira;0,2801;0,3093;0,2757;0,3203;0,3309;
AC;1200609;Tarauacá;0,2536;0,2709;0,2597;0,2758;0,2891;
AC;1200708;Xapuri;0,3682;0,3277;0,3322;0,3992;0,3836;
AC;1200807;Porto Acre;0,3394;0,2917;0,3257;0,3666;0,4145;
AL;2700102;Água Branca;0,4159;0,4051;0,3845;0,4496;0,5147;
AL;2700201;Anadia;0,4287;0,4224;0,4792;0,4959;0,5223;
AL;2700300;Arapiraca;0,5877;0,5786;0,6208;0,6657;0,6828;
AL;2700409;Atalaia;0,4233;0,4331;0,4423;0,5127;0,5569;
AL;2700508;Barra de Santo Antônio;0,4216;0,4361;0,3847;0,4809;0,5268;
AL;2700607;Barra de São Miguel;0,5317;0,5775;0,5833;0,6471;0,6827;
AL;2700706;Batalha;0,4571;0,4814;0,4875;0,5543;0,5907;
AL;2700805;Belém;0,5129;0,5226;0,5894;0,6109;0,5689;
AL;2700904;Belo Monte;0,4292;0,4351;0,4443;0,5147;0,5129;
AL;2701001;Boca da Mata;0,471;0,5066;0,4953;0,556;0,6024;
AL;2701100;Branquinha;0,4657;0,4092;0,5113;0,5268;0,5666;
AL;2701209;Cacimbinhas;0,4892;0,4532;0,5046;0,5794;0,569;
AL;2701308;Cajueiro;0,4249;0,4319;0,4423;0,4317;0,4775;
AL;2701357;Campestre;0,3773;0,392;0,4014;0,4465;0,5431;
AL;2701407;Campo Alegre;0,5887;0,6191;0,6252;0,6471;0,6792;
AL;2701506;Campo Grande;;;;0,4179;0,4504;
AL;2701605;Canapi;0,3999;0,4516;0,4509;0,4685;0,5241;
AL;2701704;Capela;0,4331;0,4601;0,4599;0,5326;0,6047;
AL;2701803;Carneiros;0,4036;0,4333;0,4253;0,4626;0,502;
AL;2701902;Chã Preta;0,3921;0,3856;0,3649;0,5091;0,5483;
AL;2702009;Coité do Nóia;0,4449;0,474;0,4281;0,4758;0,5152;
AL;2702108;Colônia Leopoldina;0,4337;0,475;0,4981;0,567;0,5601;
AL;2702207;Coqueiro Seco;0,451;0,4008;0,4866;0,5118;0,5068;
AL;2702306;Coruripe;0,6199;0,6153;0,654;0,7671;0,7608;
AL;2702355;Craíbas;0,4306;0,4495;0,4638;0,4603;0,5037;
AL;2702405;Delmiro Gouveia;0,4451;0,447;0,4605;0,5377;0,5801;
AL;2702504;Dois Riachos;0,4275;0,4263;0,3914;0,3968;0,5071;
AL;2702553;Estrela de Alagoas;0,3931;0,408;0,4146;0,4148;0,4945;
AL;2702603;Feira Grande;0,3879;0,3961;0,4063;0,4423;0,4797;
AL;2702702;Feliz Deserto;0,5114;0,5009;0,5349;0,5809;0,5867;
AL;2702801;Flexeiras;;;;;;
AL;2702900;Girau do Ponciano;0,4166;0,4259;0,4167;0,4298;0,4834;
AL;2703007;Ibateguara;0,3929;0,3979;0,3856;0,4121;0,5123;
AL;2703106;Igaci;0,3998;0,41;0,4035;0,4761;0,5294;
AL;2703205;Igreja Nova;0,4512;0,4872;0,5195;0,5615;0,5697;
AL;2703304;Inhapi;0,3979;0,4099;0,401;0,4176;0,4801;
AL;2703403;Jacaré dos Homens;0,4575;0,4396;0,4917;0,4992;0,5394;
AL;2703502;Jacuípe;0,4845;0,5113;0,49;0,5117;0,5327;
AL;2703601;Japaratinga;0,3795;0,3901;0,4142;0,4857;0,5484;
AL;2703700;Jaramataia;0,4297;0,4483;0,4525;0,4551;0,4817;
AL;2703759;Jequiá da Praia;;;;;;
AL;2703809;Joaquim Gomes;0,3693;0,4252;0,42;0,4652;0,4967;
AL;2703908;Jundiá;0,5256;0,4927;0,4941;0,4848;0,5738;
AL;2704005;Junqueiro;0,5395;0,5347;0,5668;0,5855;0,6348;
AL;2704104;Lagoa da Canoa;0,4385;0,4241;0,4402;0,4918;0,5206;
AL;2704203;Limoeiro de Anadia;0,4976;0,4975;0,5335;0,5502;0,575;
AL;2704302;Maceió;0,5946;0,6081;0,603;0,6369;0,66;
AL;2704401;Major Isidoro;0,4685;0,4763;0,5422;0,5172;0,5751;
AL;2704500;Maragogi;0,4222;0,4823;0,4946;0,5536;0,5745;
AL;2704609;Maravilha;0,3997;0,3994;0,3867;0,4517;0,4757;
AL;2704708;Marechal Deodoro;0,501;0,5433;0,544;0,5815;0,6306;
AL;2704807;Maribondo;0,4321;0,4362;0,4811;0,5403;0,583;
AL;2704906;Mar Vermelho;0,4605;0,4028;0,4479;0,5298;0,5902;
AL;2705002;Mata Grande;0,3698;0,3502;0,3929;0,4843;0,4872;
AL;2705101;Matriz de Camaragibe;0,513;0,4595;0,5228;0,547;0,5848;
AL;2705200;Messias;0,4566;0,4831;0,4506;0,5124;0,5918;
AL;2705309;Minador do Negrão;0,4526;0,4506;0,4266;0,5649;0,5358;
AL;2705408;Monteirópolis;0,3646;0,4169;0,3941;0,4633;0,5267;
AL;2705507;Murici;0,4765;0,507;0,4985;0,5266;0,5998;
AL;2705606;Novo Lino;0,3341;0,4125;0,4585;0,4899;0,5509;
AL;2705705;Olho d'Água das Flores;0,4737;0,4932;0,4706;0,5082;0,5534;
AL;2705804;Olho d'Água do Casado;0,3113;0,3575;0,3795;0,4285;0,4651;
AL;2705903;Olho d'Água Grande;0,366;0,3911;0,3136;0,4451;0,4822;
AL;2706000;Olivença;0,4126;0,4394;0,3941;0,482;0,565;
AL;2706109;Ouro Branco;0,4208;0,4352;0,421;0,5038;0,5331;
AL;2706208;Palestina;0,3984;0,4699;0,4456;0,5167;0,6124;
AL;2706307;Palmeira dos Índios;0,5186;0,5075;0,5457;0,5587;0,6021;
AL;2706406;Pão de Açúcar;0,4597;0,4398;0,3995;0,4872;0,5613;
AL;2706422;Pariconha;0,4164;0,4002;0,4056;0,3856;0,4024;
AL;2706448;Paripueira;0,4252;0,4307;0,4573;0,4544;0,5471;
AL;2706505;Passo de Camaragibe;0,3996;0,4528;0,4115;0,4754;0,5784;
AL;2706604;Paulo Jacinto;0,4632;0,4076;0,3862;0,4544;0,4513;
AL;2706703;Penedo;0,4985;0,5333;0,544;0,568;0,593;
AL;2706802;Piaçabuçu;0,3648;0,3947;0,3724;0,4081;0,4783;
AL;2706901;Pilar;0,4502;0,485;0,529;0,5612;0,603;
AL;2707008;Pindoba;0,5335;0,5293;0,4859;0,5603;0,5269;
AL;2707107;Piranhas;0,4312;0,4735;0,4965;0,5365;0,5609;
AL;2707206;Poço das Trincheiras;0,3713;0,3773;0,3687;0,3902;0,5028;
AL;2707305;Porto Calvo;0,468;0,4771;0,5498;0,602;0,6771;
AL;2707404;Porto de Pedras;0,4405;0,4811;0,5095;0,5697;0,6208;
AL;2707503;Porto Real do Colégio;0,3915;0,4311;0,3609;0,4304;0,5143;
AL;2707602;Quebrangulo;0,459;0,4474;0,4756;0,5082;0,5457;
AL;2707701;Rio Largo;0,4603;0,4964;0,4893;0,5676;0,587;
AL;2707800;Roteiro;;;;;;
AL;2707909;Santa Luzia do Norte;0,4518;0,4624;0,4936;0,5227;0,5552;
AL;2708006;Santana do Ipanema;0,4647;0,4809;0,4709;0,5285;0,5688;
AL;2708105;Santana do Mundaú;0,477;0,4966;0,4975;0,51;0,5692;
